"timestamp","original_url","archive_url","digest","screenshot","captured"
"20241004195857","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20241004195857/https://www.califidparrotandexotic.com/","REYSARRJCWH5U3DXWZWJG34QZJWQBOBC","screenshots/20241004195857--index.png","False"
"20241005061339","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20241005061339/https://www.califidparrotandexotic.com/","EJKM55UJG6G7ZPANBVVEK6HLRRLO5Q2Y","screenshots/20241005061339--index.png","True"
"20250214091838","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20250214091838/https://www.califidparrotandexotic.com/","XQ76UNX5CWADYIZ6FQGEAVYQUKNECCCY","screenshots/20250214091838--index.png","False"
"20250217011241","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20250217011241/https://www.califidparrotandexotic.com/","EJKM55UJG6G7ZPANBVVEK6HLRRLO5Q2Y","screenshots/20250217011241--index.png","False"
"20250317090647","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20250317090647/https://www.califidparrotandexotic.com/","XQ76UNX5CWADYIZ6FQGEAVYQUKNECCCY","screenshots/20250317090647--index.png","True"
"20250319190346","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20250319190346/https://www.califidparrotandexotic.com/","EJKM55UJG6G7ZPANBVVEK6HLRRLO5Q2Y","screenshots/20250319190346--index.png","True"
"20250622134536","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20250622134536/https://www.califidparrotandexotic.com/","XYG3ZZ25W7B5Q6WJYTN22OAZRBYYBFMH","screenshots/20250622134536--index.png","False"
"20251208101817","http://califidparrotandexotic.com/","https://web.archive.org/web/20251208101817/http://califidparrotandexotic.com/","TDFE5Q7UY4IJA45RITFVIGTRC2ZSYUTW","screenshots/20251208101817--index.png","False"
"20260115113021","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20260115113021/https://www.califidparrotandexotic.com/","EJKM55UJG6G7ZPANBVVEK6HLRRLO5Q2Y","screenshots/20260115113021--index.png","True"
"20260210045607","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20260210045607/https://www.califidparrotandexotic.com/","Q7ZYKQCAGXNK6KEJK4AZOBXIN45YBCWW","screenshots/20260210045607--index.png","False"
"20260215044923","http://califidparrotandexotic.com/","https://web.archive.org/web/20260215044923/http://califidparrotandexotic.com/","22QFPX6YGN5OPUMZDGAR2CEKO3L5BST2","screenshots/20260215044923--index.png","False"
"20260312224705","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20260312224705/https://www.califidparrotandexotic.com/","PPYDYCADRG2ZHB7DP2RRHDOTB6EXEDPN","screenshots/20260312224705--index.png","False"
"20260607042329","https://www.califidparrotandexotic.com/","https://web.archive.org/web/20260607042329/https://www.califidparrotandexotic.com/","L3KFWPVWMTKMF6AQVNEC67UIG3QLLUUM","screenshots/20260607042329--index.png","False"
"20240703225701","https://www.califidparrotandexotic.com/.well-known/trust.txt","https://web.archive.org/web/20240703225701/https://www.califidparrotandexotic.com/.well-known/trust.txt","NV3LGKVRGEABLZ2BBRHGFTFY3PEESDVV","screenshots/20240703225701--.well-known_trust.txt.png","False"
"20141018121057","http://califidparrotandexotic.com/about.html","https://web.archive.org/web/20141018121057/http://califidparrotandexotic.com/about.html","3KKXA6HP44JH3ILYMEV35EXDXL4CGDG7","screenshots/20141018121057--about.html.png","False"
"20171010114443","http://www.califidparrotandexotic.com:80/about.html","https://web.archive.org/web/20171010114443/http://www.califidparrotandexotic.com:80/about.html","C7RRJWKSQSPS2SDXSU7DCTPU4MCYZVQP","screenshots/20171010114443--about.html.png","False"
